m49_code,year,region,subregion,country,lcattle_meat_pr,lsoy_pr,lmilk_pr,lsugar_pr,lpalm_pr,lcoffee_pr,lwood_pr,lcattle_meat_pr_1y,lsoy_pr_1y,lmilk_pr_1y,lsugar_pr_1y,lpalm_pr_1y,lcoffee_pr_1y,lwood_pr_1y,lcattle_meat_pr_3yr,lsoy_pr_3yr,lmilk_pr_3yr,lsugar_pr_3yr,lpalm_pr_3yr,lcoffee_pr_3yr,lwood_pr_3yr
12,1991,Africa,Northern Africa,Algeria,0.8903540773190923,0.7609454665122786,0.7661085511511149,0.4958473092103312,0.8208109756505607,0.8252745011431003,2.2802188933478074,-0.004619790174164251,-0.004514048927789283,0.007412748785591838,0.024770512130752487,0.0022696246145059717,-0.01108363845203797,0.040176316701660664,-0.0033082781525510065,-5.649224706060588e-4,9.991278911497907e-4,0.006762987351363399,-0.007638144395816153,-7.218399340626069e-4,0.06866401385809073
12,1992,Africa,Northern Africa,Algeria,0.8857342871449281,0.7564314175844893,0.7735212999367067,0.5206178213410837,0.8230806002650667,0.8141908626910623,2.320395210049468,-0.004619790174164251,-0.004514048927789283,0.007412748785591838,0.024770512130752487,0.0022696246145059717,-0.01108363845203797,0.040176316701660664,-0.0033082781525510065,-5.649224706060588e-4,9.991278911497907e-4,0.006762987351363399,-0.007638144395816153,-7.218399340626069e-4,0.06866401385809073
12,1993,Africa,Northern Africa,Algeria,0.8865595059056676,0.7674027429022422,0.7678475807983028,0.5204930701119654,0.8286304388569464,0.8092672893353774,2.5801232079982204,-0.004619790174164251,-0.004514048927789283,0.007412748785591838,0.024770512130752487,0.0022696246145059717,-0.01108363845203797,0.040176316701660664,-0.0033082781525510065,-5.649224706060588e-4,9.991278911497907e-4,0.006762987351363399,-0.007638144395816153,-7.218399340626069e-4,0.06866401385809073
12,1994,Africa,Northern Africa,Algeria,0.8804292428614393,0.7592506991004604,0.7691059348245642,0.5161362712644214,0.7978965424631123,0.8231089813409125,2.4862109349220796,8.252187607394879e-4,0.010971325317752911,-0.0056737191384038654,-1.2475122911825842e-4,0.005549838591879741,-0.00492357335568494,0.25972799794875234,-0.0033082781525510065,-5.649224706060588e-4,9.991278911497907e-4,0.006762987351363399,-0.007638144395816153,-7.218399340626069e-4,0.06866401385809073
12,1995,Africa,Northern Africa,Algeria,0.8835429654470383,0.760922193023578,0.7800783921903915,0.5265930869038031,0.8185268074060557,0.8505966562998987,2.405707952850656,-0.006130263044228257,-0.008152043801781805,0.001258354026261399,-0.00435679884754403,-0.03073389639383417,0.013841692005535089,-0.0939122730761408,-0.0033082781525510065,-5.649224706060588e-4,9.991278911497907e-4,0.006762987351363399,-0.007638144395816153,-7.218399340626069e-4,0.06866401385809073
12,1996,Africa,Northern Africa,Algeria,0.8829319062676158,0.7857391539887161,0.7896258908532374,0.5210956996845524,0.8107022471422033,0.8403940991462041,2.4012754510080647,0.0031137225855989437,0.0016714939231176063,0.010972457365827304,0.010456815639381722,0.0206302649429434,0.027487674958986186,-0.08050298207142337,-7.304405659632751e-4,0.001496925146362904,0.002185697417894946,0.0019917551875731445,-0.0015179309530036766,0.012135264536278778,0.02843758093372939
12,1997,Africa,Northern Africa,Algeria,0.8911069925018993,0.766017498089001,0.7885969473298207,0.5386847797825356,0.8180503962212472,0.8303901885070102,2.3761842204744297,-6.110591794225018e-4,0.02481696096513808,0.009547498662845877,-0.005497387219250749,-0.007824560263852365,-0.010202557153694558,-0.004432501842591474,-0.001209199879350605,0.006112137028824627,0.007259436684978193,2.0087652419564783e-4,-0.005976063904914379,0.010375603270275572,-0.05961591899671855
12,1998,Africa,Northern Africa,Algeria,0.8937364734007605,0.7572258441257536,0.7899363502944203,0.5536780227474126,0.8205922569242812,0.8436563374961407,2.20661154464407,0.008175086234283535,-0.019721655899715085,-0.0010289435234167588,0.017589080097983212,0.007348149079043909,-0.010003910639193925,-0.025091230533635045,0.0035592498801533257,0.002255599662846867,0.006497004168418807,0.007516169506038062,0.006717951252711647,0.002427069055365901,-0.03667557148254996
12,1999,Africa,Northern Africa,Algeria,0.8901876966744506,0.7410470990439373,0.7712846807785542,0.5397864479413668,0.8222639803726662,0.8425770120721511,2.2713312082428496,0.0026294808988611695,-0.008791653963247437,0.0013394029645996675,0.01499324296487703,0.0025418607030339713,0.013266148989130477,-0.16957267583035973,0.0033978359845740678,-0.001232116299274814,0.0032859860346762617,0.00902831194786983,6.884831727418383e-4,-0.0023134396012526683,-0.06636546940219541
12,2000,Africa,Northern Africa,,0.883885541648605,0.7356242779691679,0.7667033647694126,0.5258707206342997,0.8236990464084267,0.8102693450106976,2.2785317201969786,-0.0035487767263098213,-0.01617874508181627,-0.018651669515866165,-0.013891574806045859,0.0016717234483850651,-0.0010793254239895855,0.06471966359877968,0.0024185968022782944,-0.014897351648259597,-0.006113736691561085,0.0062302494189381274,0.0038539110768209817,7.276376419823224e-4,-0.043314747588405034
12,2001,Africa,Northern Africa,Algeria,0.881210104672086,0.7307165115741816,0.7632477258850398,0.5157335290623878,0.8197610926739484,0.7927758996295456,2.200572339386914,-0.006302155025845635,-0.005422821074769435,-0.004581316009141578,-0.013915727307067027,0.0014350660357604905,-0.03230766706145349,0.007200511954128963,-0.0024071502844314288,-0.010131073373277713,-0.007297860853469358,-0.004271353049411952,0.001882883395726509,-0.0067069478321042,-0.03255083342581703
